Precinct,Code,Location,Address,City,State,Zip
DICKERSON 01,DC01 (NEW),LUTHERAN CHURCH OF THE INCARNATION,1200 INDIAN HILLS PKWY,MARIETTA,GA,30068
DOBBINS 01,DI01,WINDY HILL COMMUNITY CENTER,1885 ROSWELL ST SE,SMYRNA,GA,30080
DOBBINS 02,DI02 (NEW),CALVARY BAPTIST CHURCH OF SMYRNA,1243 BELMONT AVENUE,SMYRNA,GA,30080
DODGEN 01,DO01 (NEW),THE EPISCOPAL CHURCH OF ST. PETER AND ST. PAUL,1795 JOHNSON FERRY RD,MARIETTA,GA,30062
DOWELL 01,DL01,DOWELL ELEMENTARY SCHOOL,2121 WEST SANDTOWN RD,MARIETTA,GA,30062
DURHAM 01,DU01,DURHAM MIDDLE SCHOOL,2891 MARS HILL RD,ACWORTH,GA,30101
EAST PIEDMONT 01,EP01,ELIZABETH BAPTIST CHURCH,315 KURTZ RD,MARIETTA,GA,30066
EASTSIDE 01,EA01,CONGREGATION ETZ CHAIM,1190 INDIAN HILLS PKWY,MARIETTA,GA,30068
EASTSIDE 02,EA02,EASTSIDE BAPTIST CHURCH,2450 LOWER ROSWELL RD NE,MARIETTA,GA,30067
ELIZABETH 01,EL01,COBB EMC,1000 EMC PKWY,MARIETTA,GA,30060
ELIZABETH 02,EL02 (NEW),COVENANT PRESBYTERIAN CHURCH,2881 CANTON RD MARIETTA,GA 30066,,
ELIZABETH 03,EL03,PIEDMONT ROAD CHURCH OF CHRIST,1630 PIEDMONT RD,MARIETTA,GA,30066
ELIZABETH 04,EL04,GRACELIFE CHURCH,1083 ALLGOOD RD NE,MARIETTA,GA,30062
ELIZABETH 05,EL05,SANDY PLAINS BAPTIST CHURCH,2825 SANDY PLAINS RD,MARIETTA,GA,30066
FAIR OAKS 02,FO02,MILFORD BAPTIST CHURCH,1030 MILFORD CHURCH RD,MARIETTA,GA,30060
FAIR OAKS 04,FO04,LABELLE ELEMENTARY SCHOOL,230 CRESSON DR,MARIETTA,GA,30060
FORD 01,FR01,FORD ELEMENTARY SCHOOL,1345 MARS HILL RD,ACWORTH,GA,30101
FREY 01,FY01,WEST COBB REGIONAL LIBRARY,1750 DENNIS KEMP LN,KENNESAW,GA,30152
FULLERS PARK 01,FP01,FULLERS RECREATION CENTER,3499 ROBINSON RD,MARIETTA,GA,30068
GARRISON MILL 01,GM01 (NEW),UNITY NORTH ATLANTA CHURCH,4255 SANDY PLAINS RD,MARIETTA,GA,30066
GRITTERS 01,GT01,CROSSVIEW BAPTIST CHURCH,1100 PIEDMONT RD NE,MARIETTA,GA,30066
HARMONY-LELAND 01,HL01,SOUTH COBB COMMUNITY CENTER,620 LIONS CLUB DR,MABLETON,GA,30126
HARRISON 01,HR01,HARRISON HIGH SCHOOL,4500 DUE WEST RD,KENNESAW,GA,30152
HAYES 01,HY01,HAYES ELEMENTARY SCHOOL,1501 KENNESAW DUE WEST RD,KENNESAW,GA,30152
HIGHTOWER 01,HT01 (NEW),SHALLOWFORD CHURCH,3662 SHALLOWFORD RD,MARIETTA,GA,30062
KELL 01,KL01,KELL HIGH SCHOOL,4770 LEE WATERS RD,MARIETTA,GA,30066
KEMP 01,KP01,DUE WEST UNITED METHODIST CHURCH,3956 DUE WEST RD,MARIETTA,GA,30064
KEMP 02,KP02,WEST COBB CHURCH,1245 VILLA RICA RD,MARIETTA,GA,30064
KEMP 03,KP03,BURNT HICKORY BAPTIST CHURCH,5145 DUE WEST RD,POWDER SPRINGS,GA,30127
KENNESAW 1A (TEMPORARY),KE1A (TEMP),KENNESAW FIRST BAPTIST CHURCH,2958 NORTH MAIN ST,KENNESAW,GA,30144
KENNESAW 2A,KE2A (NEW),NEW BEGINNINGS UNITED METHODIST CHURCH,2975 COBB PARKWAY NW,KENNESAW,GA,30152
KENNESAW 3A,KE3A,BEN ROBERTSON COMMUNITY CENTER,2753 WATTS AVE,KENNESAW,GA,30144
KENNESAW 4A,KE4A (NEW),KENNESAW FIRST BAPTIST CHURCH,2958 NORTH MAIN ST,KENNESAW,GA,30144
KENNESAW 5A,KE5A,LEGACY PARK CLUBHOUSE,4201 LEGACY PARK CIR,KENNESAW,GA,30144
LASSITER 01,LA01 (NEW),PILGRIMAGE UNITED CHURCH OF CHRIST,3755 SANDY PLAINS RD,MARIETTA,GA,30066
LINDLEY 01,LI01,LINDLEY MIDDLE SCHOOL,50 VETERANS MEMORIAL HWY,MABLETON,GA,30126
LOST MOUNTAIN 01,LM01,WEST COBB SENIOR SERVICES CENTER,4915 DALLAS HIGHWAY,POWDER SPRINGS,GA,30127
